experiment,split,instance_id,instance_type,n,seed,solver,status,route,cost,optimum_cost,best_known_cost,relative_gap,gap_to_best_known,exact_optimum_available,valid_route,finite_edges,runtime_s,rss_before_mb,rss_after_mb,rss_delta_mb,tau,tau_source,n_layers,exact_mode,time_limit_s,metadata_json
classical_comparison,evaluation,classical_comparison_euclidean_n5_seed5,euclidean,5,5,tn_exact,ok,"[4, 2, 3, 1, 0]",2746.08894113388,2746.08894113388,2746.08894113388,0.0,0.0,True,True,True,0.009338299998489674,221.75,224.89453125,3.14453125,31.4,calibrated_on_calibration_split,,True,,"{""exact_mode"": true, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""max_layers"": 3, ""n_layers"": null, ""n_layers_effective"": 3, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 5, ""tau"": 31.4, ""valid_route"": true}"
classical_comparison,evaluation,classical_comparison_euclidean_n5_seed5,euclidean,5,5,tn_n_layers_0,ok,"[4, 2, 1, 3, 0]",2990.2590349258508,2746.08894113388,2746.08894113388,0.08891558104128677,0.08891558104128677,True,True,True,0.02331179999964661,224.89453125,225.01953125,0.125,31.4,calibrated_on_calibration_split,0,False,,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""max_layers"": 3, ""n_layers"": 0, ""n_layers_effective"": 0, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 5, ""tau"": 31.4, ""valid_route"": true}"
classical_comparison,evaluation,classical_comparison_euclidean_n5_seed5,euclidean,5,5,tn_n_layers_1,ok,"[4, 2, 3, 1, 0]",2746.08894113388,2746.08894113388,2746.08894113388,0.0,0.0,True,True,True,0.014448599999013823,225.01953125,225.140625,0.12109375,31.4,calibrated_on_calibration_split,1,False,,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""max_layers"": 3, ""n_layers"": 1, ""n_layers_effective"": 1, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 5, ""tau"": 31.4, ""valid_route"": true}"
classical_comparison,evaluation,classical_comparison_euclidean_n5_seed5,euclidean,5,5,tn_n_layers_2,ok,"[4, 2, 3, 1, 0]",2746.08894113388,2746.08894113388,2746.08894113388,0.0,0.0,True,True,True,0.005880099997739308,225.140625,225.140625,0.0,31.4,calibrated_on_calibration_split,2,False,,"{""exact_mode"": false, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""max_layers"": 3, ""n_layers"": 2, ""n_layers_effective"": 2, ""normalization_factor"": 1019.4715319796893, ""normalize"": true, ""seed"": 5, ""tau"": 31.4, ""valid_route"": true}"
classical_comparison,evaluation,classical_comparison_euclidean_n5_seed5,euclidean,5,5,held_karp,ok,"[4, 2, 3, 1, 0]",2746.08894113388,2746.08894113388,2746.08894113388,0.0,0.0,True,True,True,3.780000042752363e-05,225.140625,225.140625,0.0,31.4,calibrated_on_calibration_split,,,,"{""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""max_n"": 18, ""start"": 4}"
classical_comparison,evaluation,classical_comparison_euclidean_n5_seed5,euclidean,5,5,bruteforce,ok,"[4, 0, 1, 3, 2]",2746.08894113388,2746.08894113388,2746.08894113388,0.0,0.0,True,True,True,6.180000127642415e-05,225.140625,225.140625,0.0,31.4,calibrated_on_calibration_split,,,,"{""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""max_n"": 10, ""permutations_checked"": 24, ""start"": 4}"
classical_comparison,evaluation,classical_comparison_euclidean_n5_seed5,euclidean,5,5,ortools,ok,"[4, 2, 3, 1, 0]",2746.08894113388,2746.08894113388,2746.08894113388,0.0,0.0,True,True,True,0.03294119999918621,225.140625,239.74609375,14.60546875,31.4,calibrated_on_calibration_split,,,5.0,"{""finite_edges"": true, ""infinity_penalty"": 5097357660000, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""integer_scale"": 1000000, ""start"": 4, ""time_limit_s"": 5.0, ""valid_route"": true}"
classical_comparison,evaluation,classical_comparison_euclidean_n5_seed5,euclidean,5,5,networkx_christofides,ok,"[4, 0, 3, 1, 2]",2990.2590349258508,2746.08894113388,2746.08894113388,0.08891558104128677,0.08891558104128677,True,True,True,0.12741860000096494,239.74609375,248.9140625,9.16796875,31.4,calibrated_on_calibration_split,,,,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""requires_metric_symmetric_complete"": true, ""valid_route"": true}"
classical_comparison,evaluation,classical_comparison_euclidean_n5_seed5,euclidean,5,5,networkx_greedy,ok,"[4, 0, 3, 1, 2]",2990.2590349258508,2746.08894113388,2746.08894113388,0.08891558104128677,0.08891558104128677,True,True,True,0.0002066000015474856,248.9140625,248.9296875,0.015625,31.4,calibrated_on_calibration_split,,,,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}, ""valid_route"": true}"
classical_comparison,evaluation,classical_comparison_euclidean_n5_seed5,euclidean,5,5,python_tsp_dynamic_programming,skipped_missing_dependency,,,2746.08894113388,2746.08894113388,nan,nan,True,,,0.00043419999929028563,248.9296875,248.9296875,0.0,31.4,calibrated_on_calibration_split,,,,"{""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[805.0029237453801, 807.9407897364938], [515.325561042142, 285.8013800881416], [53.930702381656424, 383.36888078551823], [408.47320541999864, 45.27519390244517], [48.75771072716806, 999.1761150650714]], ""scale"": 1000.0, ""seed"": 5, ""symmetric"": true}}"
