experiment,instance_id,instance_type,n,seed,solver,status,route,cost,optimum_cost,relative_gap,valid_route,finite_edges,runtime_s,rss_before_mb,rss_after_mb,rss_delta_mb,tau,n_layers,time_limit_s,best_known_cost,gap_to_best_known,exact_optimum_available,metadata_json
classical_comparison,classical_comparison_euclidean_n5_seed0,euclidean,5,0,tn_exact,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,0.010432900000068912,221.7265625,224.85546875,3.12890625,9.0,,,2702.116926543379,0.0,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""n_layers"": null, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""seed"": 0, ""tau"": 9.0, ""valid_route"": true}"
classical_comparison,classical_comparison_euclidean_n5_seed0,euclidean,5,0,tn_n_layers_2,ok,"[4, 3, 1, 0, 2]",2709.961862096935,2702.116926543379,0.0029032553982004383,True,True,0.008053999999901862,224.85546875,225.14453125,0.2890625,9.0,2,,2702.116926543379,0.0029032553982004383,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""n_layers"": 2, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""seed"": 0, ""tau"": 9.0, ""valid_route"": true}"
classical_comparison,classical_comparison_euclidean_n5_seed0,euclidean,5,0,tn_n_layers_1,ok,"[4, 3, 0, 1, 2]",2776.9333810898083,2702.116926543379,0.027688089220526974,True,True,0.005842200000188313,225.14453125,225.15234375,0.0078125,9.0,1,,2702.116926543379,0.027688089220526974,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""n_layers"": 1, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""seed"": 0, ""tau"": 9.0, ""valid_route"": true}"
classical_comparison,classical_comparison_euclidean_n5_seed0,euclidean,5,0,tn_n_layers_0,ok,"[4, 3, 2, 0, 1]",2852.5600995630984,2702.116926543379,0.055676041085376084,True,True,0.00435879999986355,225.15234375,225.15234375,0.0,9.0,0,,2702.116926543379,0.055676041085376084,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""n_layers"": 0, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""seed"": 0, ""tau"": 9.0, ""valid_route"": true}"
classical_comparison,classical_comparison_euclidean_n5_seed0,euclidean,5,0,held_karp,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,4.369999987829942e-05,225.15234375,225.15234375,0.0,,,,2702.116926543379,0.0,True,"{""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""max_n"": 18, ""start"": 4}"
classical_comparison,classical_comparison_euclidean_n5_seed0,euclidean,5,0,bruteforce,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,6.949999988137279e-05,225.15234375,225.15234375,0.0,,,,2702.116926543379,0.0,True,"{""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""max_n"": 10, ""permutations_checked"": 24, ""start"": 4}"
classical_comparison,classical_comparison_euclidean_n5_seed0,euclidean,5,0,ortools,ok,"[4, 1, 0, 3, 2]",2702.1169265433796,2702.116926543379,1.682929951770034e-16,True,True,0.04739289999997709,225.15234375,239.44140625,14.2890625,,,5.0,2702.116926543379,1.682929951770034e-16,True,"{""finite_edges"": true, ""infinity_penalty"": 5915375600000, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""integer_scale"": 1000000, ""start"": 4, ""time_limit_s"": 5.0, ""valid_route"": true}"
classical_comparison,classical_comparison_euclidean_n5_seed0,euclidean,5,0,networkx_christofides,ok,"[4, 2, 1, 0, 3]",2776.9333810898083,2702.116926543379,0.027688089220526974,True,True,0.147919400000319,239.44140625,248.578125,9.13671875,,,,2702.116926543379,0.027688089220526974,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""requires_metric_symmetric_complete"": true, ""valid_route"": true}"
classical_comparison,classical_comparison_euclidean_n5_seed0,euclidean,5,0,networkx_greedy,ok,"[4, 1, 0, 2, 3]",2852.560099563098,2702.116926543379,0.05567604108537592,True,True,0.00023529999998572748,248.578125,248.5859375,0.0078125,,,,2702.116926543379,0.05567604108537592,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""valid_route"": true}"
classical_comparison,classical_comparison_euclidean_n5_seed0,euclidean,5,0,python_tsp_dynamic_programming,skipped_missing_dependency,,,2702.116926543379,nan,,,0.0005019999998694402,248.5859375,248.5859375,0.0,,,,2702.116926543379,nan,True,"{""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}}"
classical_comparison,classical_comparison_random_symmetric_n5_seed0,random_symmetric,5,0,tn_exact,ok,"[4, 1, 2, 3, 0]",173.32033081190647,173.32033081190647,0.0,True,True,0.008036400000037247,248.58984375,248.69140625,0.1015625,9.0,,,173.32033081190647,0.0,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 0, ""symmetric"": true}, ""n_layers"": null, ""normalization_factor"": 70.63679373385781, ""normalize"": true, ""seed"": 0, ""tau"": 9.0, ""valid_route"": true}"
classical_comparison,classical_comparison_random_symmetric_n5_seed0,random_symmetric,5,0,tn_n_layers_2,ok,"[4, 0, 3, 2, 1]",173.32033081190647,173.32033081190647,0.0,True,True,0.006856500000139931,248.69140625,248.76953125,0.078125,9.0,2,,173.32033081190647,0.0,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 0, ""symmetric"": true}, ""n_layers"": 2, ""normalization_factor"": 70.63679373385781, ""normalize"": true, ""seed"": 0, ""tau"": 9.0, ""valid_route"": true}"
classical_comparison,classical_comparison_random_symmetric_n5_seed0,random_symmetric,5,0,tn_n_layers_1,ok,"[4, 2, 1, 3, 0]",231.36805412720776,173.32033081190647,0.334915834993973,True,True,0.006171699999867997,248.76953125,248.8828125,0.11328125,9.0,1,,173.32033081190647,0.334915834993973,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 0, ""symmetric"": true}, ""n_layers"": 1, ""normalization_factor"": 70.63679373385781, ""normalize"": true, ""seed"": 0, ""tau"": 9.0, ""valid_route"": true}"
classical_comparison,classical_comparison_random_symmetric_n5_seed0,random_symmetric,5,0,tn_n_layers_0,ok,"[4, 0, 3, 2, 1]",173.32033081190647,173.32033081190647,0.0,True,True,0.004625299999588606,248.8828125,248.8828125,0.0,9.0,0,,173.32033081190647,0.0,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 0, ""symmetric"": true}, ""n_layers"": 0, ""normalization_factor"": 70.63679373385781, ""normalize"": true, ""seed"": 0, ""tau"": 9.0, ""valid_route"": true}"
classical_comparison,classical_comparison_random_symmetric_n5_seed0,random_symmetric,5,0,held_karp,ok,"[4, 1, 2, 3, 0]",173.32033081190647,173.32033081190647,0.0,True,True,3.789999982473091e-05,248.8828125,248.8828125,0.0,,,,173.32033081190647,0.0,True,"{""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 0, ""symmetric"": true}, ""max_n"": 18, ""start"": 4}"
classical_comparison,classical_comparison_random_symmetric_n5_seed0,random_symmetric,5,0,bruteforce,ok,"[4, 0, 3, 2, 1]",173.32033081190647,173.32033081190647,0.0,True,True,6.579999990208307e-05,248.8828125,248.8828125,0.0,,,,173.32033081190647,0.0,True,"{""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 0, ""symmetric"": true}, ""max_n"": 10, ""permutations_checked"": 24, ""start"": 4}"
