split,instance_type,n,layer_ratio,number_of_instances,repeats,valid_rate,finite_edge_rate,optimality_rate,mean_gap,median_gap,p95_gap,best_gap,mean_runtime_s,median_runtime_s,first_valid_repeat_median
evaluation,euclidean,8,0.0,5,5,1.0,1.0,0.2,0.1333324450061113,0.16050477045652115,0.19129828757237272,0.0,0.012839888000162319,0.012708199999906356,0.0
evaluation,euclidean,8,0.1,5,5,1.0,1.0,0.0,0.355254157822279,0.37976883007781254,0.5347207667051869,0.06849647920207437,0.017193247999530287,0.01722899999731453,0.0
evaluation,euclidean,8,0.25,5,5,1.0,1.0,0.04,0.19442898181958565,0.1256513200819203,0.46856241704464957,0.0,0.021228407999733464,0.02122659999804455,0.0
evaluation,euclidean,8,0.5,5,5,1.0,1.0,0.56,0.1232454877250986,0.0,0.46856241704464957,0.0,0.025165675999742235,0.025063900000532158,0.0
evaluation,euclidean,8,0.75,5,5,1.0,1.0,0.64,0.074235879016631,0.0,0.40771146762623595,0.0,0.031121264000539668,0.02865150000070571,0.0
evaluation,euclidean,8,1.0,5,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.03309676400021999,0.03246200000285171,0.0
evaluation,euclidean,10,0.0,5,5,1.0,1.0,0.2,0.20302970344540947,0.23154344553161693,0.29118083073493645,0.0,0.032214404000260405,0.023252599999977974,0.0
evaluation,euclidean,10,0.1,5,5,1.0,1.0,0.12,0.2896711935827169,0.26215932032365435,0.6378125964571232,0.0,0.03100832399984938,0.030320199999550823,0.0
evaluation,euclidean,10,0.25,5,5,1.0,1.0,0.04,0.22027223101698176,0.21457593112781007,0.41848151757565893,0.0,0.0390383159997873,0.037737800001195865,0.0
evaluation,euclidean,10,0.5,5,5,1.0,1.0,0.2,0.09603636701081766,0.06550490049016411,0.24957997525118694,0.0,0.05474420800004737,0.05239440000150353,0.0
evaluation,euclidean,10,0.75,5,5,1.0,1.0,0.64,0.017043147072074355,0.0,0.15006516033712378,0.0,0.06602958399962518,0.06508749999920838,0.0
evaluation,euclidean,10,1.0,5,5,1.0,1.0,1.0,2.901891610722405e-17,0.0,1.4509458053612025e-16,0.0,0.15396714000031353,0.15179730000090785,0.0
evaluation,euclidean,12,0.0,5,5,1.0,1.0,0.0,0.34019559299850977,0.3132527297004289,0.443215059746921,0.2872080849343741,0.04582420400009141,0.03596570000081556,0.0
evaluation,euclidean,12,0.1,5,5,1.0,1.0,0.0,0.41700164468544715,0.4029572369081197,0.6433661406797659,0.03654949614463186,0.04717934400003287,0.04664749999938067,0.0
evaluation,euclidean,12,0.25,5,5,1.0,1.0,0.0,0.3151824485114414,0.27680789483520296,0.5725681643553614,0.10799793898511952,0.05760074000019813,0.057185300000128336,0.0
evaluation,euclidean,12,0.5,5,5,1.0,1.0,0.24,0.0803773310423389,0.03886085509486845,0.2659016276637628,0.0,0.0926063200001954,0.09182979999968666,0.0
evaluation,euclidean,12,0.75,5,5,1.0,1.0,0.68,0.02069297197748451,0.0,0.04810661109777406,0.0,0.27416207599948395,0.27313779999894905,0.0
evaluation,euclidean,12,1.0,5,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2917172399998526,0.29721040000003995,0.0
evaluation,random_asymmetric,8,0.0,5,5,1.0,1.0,0.0,0.7236207597612038,0.6715659258794415,1.3112849593320277,0.38211278465776377,0.012990196000610013,0.012822100001358194,0.0
evaluation,random_asymmetric,8,0.1,5,5,1.0,1.0,0.04,0.6415686877854886,0.6432252701055484,1.3111892016418512,0.0,0.017231795999832683,0.017259299998841016,0.0
