split,instance_type,n,seed,tau,tau_source,calibration_stage,status,route,cost,optimum_cost,relative_gap,valid_route,finite_edges,runtime_s,rss_before_mb,rss_after_mb,rss_delta_mb,metadata_json
calibration,euclidean,5,0,1.0,calibration_stage_1_integer_grid,stage_1_integer_grid,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,0.10768209999878309,259.5390625,262.6875,3.1484375,"{""exact_mode"": true, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""max_layers"": 3, ""n_layers"": null, ""n_layers_effective"": 3, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""optimum_solver"": ""held_karp"", ""optimum_status"": ""ok"", ""seed"": 0, ""tau"": 1.0, ""valid_route"": true}"
calibration,euclidean,5,0,2.0,calibration_stage_1_integer_grid,stage_1_integer_grid,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,0.007775699999911012,262.6875,262.765625,0.078125,"{""exact_mode"": true, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""max_layers"": 3, ""n_layers"": null, ""n_layers_effective"": 3, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""optimum_solver"": ""held_karp"", ""optimum_status"": ""ok"", ""seed"": 0, ""tau"": 2.0, ""valid_route"": true}"
calibration,euclidean,5,0,3.0,calibration_stage_1_integer_grid,stage_1_integer_grid,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,0.007527699999627657,262.765625,262.859375,0.09375,"{""exact_mode"": true, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""max_layers"": 3, ""n_layers"": null, ""n_layers_effective"": 3, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""optimum_solver"": ""held_karp"", ""optimum_status"": ""ok"", ""seed"": 0, ""tau"": 3.0, ""valid_route"": true}"
calibration,euclidean,5,0,4.0,calibration_stage_1_integer_grid,stage_1_integer_grid,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,0.008058800001890631,262.859375,262.87890625,0.01953125,"{""exact_mode"": true, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""max_layers"": 3, ""n_layers"": null, ""n_layers_effective"": 3, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""optimum_solver"": ""held_karp"", ""optimum_status"": ""ok"", ""seed"": 0, ""tau"": 4.0, ""valid_route"": true}"
calibration,euclidean,5,0,5.0,calibration_stage_1_integer_grid,stage_1_integer_grid,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,0.00878270000248449,262.87890625,262.87890625,0.0,"{""exact_mode"": true, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""max_layers"": 3, ""n_layers"": null, ""n_layers_effective"": 3, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""optimum_solver"": ""held_karp"", ""optimum_status"": ""ok"", ""seed"": 0, ""tau"": 5.0, ""valid_route"": true}"
calibration,euclidean,5,0,6.0,calibration_stage_1_integer_grid,stage_1_integer_grid,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,0.0080130000023928,262.87890625,262.88671875,0.0078125,"{""exact_mode"": true, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""max_layers"": 3, ""n_layers"": null, ""n_layers_effective"": 3, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""optimum_solver"": ""held_karp"", ""optimum_status"": ""ok"", ""seed"": 0, ""tau"": 6.0, ""valid_route"": true}"
calibration,euclidean,5,0,7.0,calibration_stage_1_integer_grid,stage_1_integer_grid,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,0.008181699999113334,262.88671875,262.921875,0.03515625,"{""exact_mode"": true, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""max_layers"": 3, ""n_layers"": null, ""n_layers_effective"": 3, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""optimum_solver"": ""held_karp"", ""optimum_status"": ""ok"", ""seed"": 0, ""tau"": 7.0, ""valid_route"": true}"
calibration,euclidean,5,0,8.0,calibration_stage_1_integer_grid,stage_1_integer_grid,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,0.007543499999883352,262.921875,262.98046875,0.05859375,"{""exact_mode"": true, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""max_layers"": 3, ""n_layers"": null, ""n_layers_effective"": 3, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""optimum_solver"": ""held_karp"", ""optimum_status"": ""ok"", ""seed"": 0, ""tau"": 8.0, ""valid_route"": true}"
calibration,euclidean,5,0,9.0,calibration_stage_1_integer_grid,stage_1_integer_grid,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,0.0083980999988853,262.984375,263.015625,0.03125,"{""exact_mode"": true, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""max_layers"": 3, ""n_layers"": null, ""n_layers_effective"": 3, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""optimum_solver"": ""held_karp"", ""optimum_status"": ""ok"", ""seed"": 0, ""tau"": 9.0, ""valid_route"": true}"
calibration,euclidean,5,0,10.0,calibration_stage_1_integer_grid,stage_1_integer_grid,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,0.007911400000011781,263.015625,263.01953125,0.00390625,"{""exact_mode"": true, ""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""max_layers"": 3, ""n_layers"": null, ""n_layers_effective"": 3, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""optimum_solver"": ""held_karp"", ""optimum_status"": ""ok"", ""seed"": 0, ""tau"": 10.0, ""valid_route"": true}"
