experiment,instance_id,instance_type,n,seed,solver,status,route,cost,optimum_cost,relative_gap,valid_route,finite_edges,runtime_s,rss_before_mb,rss_after_mb,rss_delta_mb,tau,n_layers,exact_optimum_available,metadata_json
tau_sweep,tau_sweep_euclidean_n5_seed0,euclidean,5,0,tn_exact,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,0.011640200000329,259.6875,262.80859375,3.12109375,2.0,,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""n_layers"": null, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""optimum_status"": ""ok"", ""seed"": 0, ""tau"": 2.0, ""valid_route"": true}"
tau_sweep,tau_sweep_euclidean_n5_seed0,euclidean,5,0,tn_exact,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,0.0081389000001763,262.80859375,262.90234375,0.09375,3.0,,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""n_layers"": null, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""optimum_status"": ""ok"", ""seed"": 0, ""tau"": 3.0, ""valid_route"": true}"
tau_sweep,tau_sweep_euclidean_n5_seed0,euclidean,5,0,tn_exact,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,0.0085908000000927,262.90234375,262.9921875,0.08984375,4.0,,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""n_layers"": null, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""optimum_status"": ""ok"", ""seed"": 0, ""tau"": 4.0, ""valid_route"": true}"
tau_sweep,tau_sweep_euclidean_n5_seed0,euclidean,5,0,tn_exact,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,0.0083223999999972,262.9921875,263.03515625,0.04296875,5.0,,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""n_layers"": null, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""optimum_status"": ""ok"", ""seed"": 0, ""tau"": 5.0, ""valid_route"": true}"
tau_sweep,tau_sweep_euclidean_n5_seed0,euclidean,5,0,tn_exact,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,0.0080681999997977,263.03515625,263.03515625,0.0,6.0,,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""n_layers"": null, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""optimum_status"": ""ok"", ""seed"": 0, ""tau"": 6.0, ""valid_route"": true}"
tau_sweep,tau_sweep_euclidean_n5_seed0,euclidean,5,0,tn_exact,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,0.0082752999996955,263.03515625,263.0390625,0.00390625,7.0,,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""n_layers"": null, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""optimum_status"": ""ok"", ""seed"": 0, ""tau"": 7.0, ""valid_route"": true}"
tau_sweep,tau_sweep_euclidean_n5_seed0,euclidean,5,0,tn_exact,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,0.0085355999999592,263.0390625,263.05078125,0.01171875,8.0,,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""n_layers"": null, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""optimum_status"": ""ok"", ""seed"": 0, ""tau"": 8.0, ""valid_route"": true}"
tau_sweep,tau_sweep_euclidean_n5_seed0,euclidean,5,0,tn_exact,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,0.0086643999998159,263.05078125,263.140625,0.08984375,9.0,,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""n_layers"": null, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""optimum_status"": ""ok"", ""seed"": 0, ""tau"": 9.0, ""valid_route"": true}"
tau_sweep,tau_sweep_euclidean_n5_seed0,euclidean,5,0,tn_exact,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,0.0082388999999238,263.140625,263.1875,0.046875,10.0,,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""n_layers"": null, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""optimum_status"": ""ok"", ""seed"": 0, ""tau"": 10.0, ""valid_route"": true}"
tau_sweep,tau_sweep_euclidean_n5_seed0,euclidean,5,0,tn_exact,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,0.0076631000001725,263.1875,263.19140625,0.00390625,12.0,,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""n_layers"": null, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""optimum_status"": ""ok"", ""seed"": 0, ""tau"": 12.0, ""valid_route"": true}"
