experiment,instance_id,instance_type,n,seed,solver,status,route,cost,optimum_cost,relative_gap,valid_route,finite_edges,runtime_s,rss_before_mb,rss_after_mb,rss_delta_mb,tau,n_layers,time_limit_s,best_known_cost,gap_to_best_known,exact_optimum_available,metadata_json
small_exact,small_exact_euclidean_n5_seed0,euclidean,5,0,tn_exact,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,0.008925600000111444,221.75,224.8984375,3.1484375,9.0,,,2702.116926543379,0.0,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""n_layers"": null, ""normalization_factor"": 1183.0751201760934, ""normalize"": true, ""seed"": 0, ""tau"": 9.0, ""valid_route"": true}"
small_exact,small_exact_euclidean_n5_seed0,euclidean,5,0,held_karp,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,3.659999993033125e-05,224.8984375,224.8984375,0.0,,,,2702.116926543379,0.0,True,"{""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""max_n"": 18, ""start"": 4}"
small_exact,small_exact_euclidean_n5_seed0,euclidean,5,0,bruteforce,ok,"[4, 2, 3, 0, 1]",2702.116926543379,2702.116926543379,0.0,True,True,6.380000013450626e-05,224.90625,224.90625,0.0,,,,2702.116926543379,0.0,True,"{""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""max_n"": 10, ""permutations_checked"": 24, ""start"": 4}"
small_exact,small_exact_euclidean_n5_seed0,euclidean,5,0,ortools,ok,"[4, 1, 0, 3, 2]",2702.1169265433796,2702.116926543379,1.682929951770034e-16,True,True,0.03592879999996512,224.90625,239.1015625,14.1953125,,,5.0,2702.116926543379,1.682929951770034e-16,True,"{""finite_edges"": true, ""infinity_penalty"": 5915375600000, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""integer_scale"": 1000000, ""start"": 4, ""time_limit_s"": 5.0, ""valid_route"": true}"
small_exact,small_exact_euclidean_n5_seed0,euclidean,5,0,networkx_christofides,ok,"[4, 2, 1, 0, 3]",2776.9333810898083,2702.116926543379,0.027688089220526974,True,True,0.12185609999960434,239.1015625,248.2265625,9.125,,,,2702.116926543379,0.027688089220526974,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""requires_metric_symmetric_complete"": true, ""valid_route"": true}"
small_exact,small_exact_euclidean_n5_seed0,euclidean,5,0,networkx_greedy,ok,"[4, 1, 0, 2, 3]",2852.560099563098,2702.116926543379,0.05567604108537592,True,True,0.00020789999962289585,248.2265625,248.2421875,0.015625,,,,2702.116926543379,0.05567604108537592,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}, ""valid_route"": true}"
small_exact,small_exact_euclidean_n5_seed0,euclidean,5,0,python_tsp_dynamic_programming,skipped_missing_dependency,,,2702.116926543379,nan,,,0.0005844999996043043,248.2421875,248.2421875,0.0,,,,2702.116926543379,nan,True,"{""instance_metadata"": {""complete"": true, ""instance_type"": ""euclidean"", ""n"": 5, ""points"": [[636.9616873214543, 269.7867137638703], [40.97352393619469, 16.527635528529096], [813.2702392002724, 912.7555772777217], [606.6357757671799, 729.4965609839984], [543.6249914654229, 935.0724237877682]], ""scale"": 1000.0, ""seed"": 0, ""symmetric"": true}}"
small_exact,small_exact_random_symmetric_n5_seed0,random_symmetric,5,0,tn_exact,ok,"[4, 1, 2, 3, 0]",173.32033081190647,173.32033081190647,0.0,True,True,0.0074307999998382,248.2421875,248.33984375,0.09765625,9.0,,,173.32033081190647,0.0,True,"{""finite_edges"": true, ""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 0, ""symmetric"": true}, ""n_layers"": null, ""normalization_factor"": 70.63679373385781, ""normalize"": true, ""seed"": 0, ""tau"": 9.0, ""valid_route"": true}"
small_exact,small_exact_random_symmetric_n5_seed0,random_symmetric,5,0,held_karp,ok,"[4, 1, 2, 3, 0]",173.32033081190647,173.32033081190647,0.0,True,True,3.1600000056641875e-05,248.33984375,248.33984375,0.0,,,,173.32033081190647,0.0,True,"{""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 0, ""symmetric"": true}, ""max_n"": 18, ""start"": 4}"
small_exact,small_exact_random_symmetric_n5_seed0,random_symmetric,5,0,bruteforce,ok,"[4, 0, 3, 2, 1]",173.32033081190647,173.32033081190647,0.0,True,True,5.8200000239594374e-05,248.33984375,248.33984375,0.0,,,,173.32033081190647,0.0,True,"{""instance_metadata"": {""complete"": true, ""high"": 100.0, ""instance_type"": ""random_symmetric"", ""low"": 1.0, ""n"": 5, ""seed"": 0, ""symmetric"": true}, ""max_n"": 10, ""permutations_checked"": 24, ""start"": 4}"
